"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"達文西廚房DaVinci's Kitchen","4.4","309","No. 1號, Xueyuan Rd",,"Beitou District, Taipei City","TW",,"+886 2 2894 0540","Restaurant","https://www.google.com/maps/search/?api=1&query=%E9%81%94%E6%96%87%E8%A5%BF%E5%BB%9A%E6%88%BFDaVinci's%20Kitchen&query_place_id=ChIJiaA1zQqvQjQRrGJSdIAa2A4"
"雪花咖啡（原Living Cafe.69）","4.9","85","Ziqiang Rd, 50-2號1樓",,"Tamsui District, New Taipei City","TW","https://www.facebook.com/Living-cafe69-%E9%99%B8%E7%8E%96%E7%94%9F%E6%B4%BB%E5%92%96%E5%95%A1%E9%A4%A8-%E9%97%9C%E6%B8%A1%E5%92%96%E5%95%A1%E5%BB%B3-101982125153863","+886 922 435 895","Cafe","https://www.google.com/maps/search/?api=1&query=%E9%9B%AA%E8%8A%B1%E5%92%96%E5%95%A1%EF%BC%88%E5%8E%9FLiving%20Cafe.69%EF%BC%89&query_place_id=ChIJ_-065R-vQjQRoUqFIWnhKW0"
"Toscana Café 托斯卡尼咖啡","4.5","92","No. 1號, Lane 80, Ligong St",,"Beitou District, Taipei City","TW","https://www.facebook.com/toscanacafe68/","+886 2 2898 5456","Cafe","https://www.google.com/maps/search/?api=1&query=Toscana%20Caf%C3%A9%20%E6%89%98%E6%96%AF%E5%8D%A1%E5%B0%BC%E5%92%96%E5%95%A1&query_place_id=ChIJi5bMYlKuQjQRfjvPUwafSQM"
"Luguo Cafe / Z Space","4.5","147","Xueyuan Rd, 1號北藝大校園內-關渡美術館2樓 1號 二樓, 關渡美術館",,"Beitou District, Taipei City","TW","https://www.facebook.com/Luguocafe.Zspace/","+886 2 2891 2990","Coffee shop","https://www.google.com/maps/search/?api=1&query=Luguo%20Cafe%20%2F%20Z%20Space&query_place_id=ChIJ1-Osh6CvQjQRE5DbEVM_GGk"
"MeJA cafe","4.6","225","No. 21號, Lane 2, Guangming Rd",,"Beitou District, Taipei City","TW","https://instagram.com/meja_221?utm_medium=copy_link","+886 2 2897 1212","Cafe","https://www.google.com/maps/search/?api=1&query=MeJA%20cafe&query_place_id=ChIJy7z1FYWvQjQR9cjUzhxiTs0"
"櫻山小吃店","4.3","16","No. 9-6號, Section 2, Hushan Rd",,"Beitou District, Taipei City","TW",,"+886 976 327 378","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E6%AB%BB%E5%B1%B1%E5%B0%8F%E5%90%83%E5%BA%97&query_place_id=ChIJH6eMKYitQjQR7habeMMEJIM"
"嶼食咖啡-竹子湖店","4.5","4","Yangming Creek Walkway, 1-20號號號B1",,"Beitou District, Taipei City","TW",,,"Coffee shop","https://www.google.com/maps/search/?api=1&query=%E5%B6%BC%E9%A3%9F%E5%92%96%E5%95%A1-%E7%AB%B9%E5%AD%90%E6%B9%96%E5%BA%97&query_place_id=ChIJK_7ISACtQjQRV24HOYwCFUQ"
"山上聊（假日無訂位）","4.2","878","Yangming Creek Walkway, 3-17號號",,"Beitou District, Taipei City","TW","https://www.facebook.com/CafeFrontiere/","+886 2 2861 5766","Cafe","https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E4%B8%8A%E8%81%8A%EF%BC%88%E5%81%87%E6%97%A5%E7%84%A1%E8%A8%82%E4%BD%8D%EF%BC%89&query_place_id=ChIJWWdfLgeyQjQRBT1YpcUUIgk"
"玉瀧谷野菜料理","4.1","450","No. 8之16號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.businesstoday.com.tw/article/category/80730/post/202001230005/%E9%84%95%E9%87%8E%E7%9A%84%E7%B1%B3%E5%85%B6%E6%9E%97%E9%A4%90%EF%BC%81%E8%AC%9D%E9%87%91%E6%B2%B3%EF%BC%9A%E9%9A%B1%E8%97%8F%E5%9C%A8%E7%AB%B9%E5%AD%90%E6%B9%96%E7%9A%84%E9%87%8E%E8%8F%9C%E7%BE%8E%E5%91%B3","+886 2 2861 5430","Country food restaurant","https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E7%80%A7%E8%B0%B7%E9%87%8E%E8%8F%9C%E6%96%99%E7%90%86&query_place_id=ChIJ2SYZgQayQjQRbE_3Jjh5taw"
"霖銘園小吃店","5","1","No. 9號, Section 2, Hushan Rd",,"Beitou District, Taipei City","TW",,,"Snack bar","https://www.google.com/maps/search/?api=1&query=%E9%9C%96%E9%8A%98%E5%9C%92%E5%B0%8F%E5%90%83%E5%BA%97&query_place_id=ChIJP1jyPwCtQjQRtWyvVEeC15Q"
"陽明山悠閒居","4.3","118","No. 71號, Zhongxing Rd",,"Beitou District, Taipei City","TW",,"+886 2 2861 3555","Restaurant","https://www.google.com/maps/search/?api=1&query=%E9%99%BD%E6%98%8E%E5%B1%B1%E6%82%A0%E9%96%92%E5%B1%85&query_place_id=ChIJ29TfAQCyQjQRGuC_O4q53Ro"
"花妍花語COFFEE","4.7","58","No. 38號, Section 2, Hushan Rd",,"Beitou District, Taipei City","TW",,"+886 961 051 789","Coffee shop","https://www.google.com/maps/search/?api=1&query=%E8%8A%B1%E5%A6%8D%E8%8A%B1%E8%AA%9ECOFFEE&query_place_id=ChIJe7QhSfmtQjQRTWywEXeL3wM"
"天氣好的話","4.7","82","No. 71號, Zhongxing Rd",,"Beitou District, Taipei City","TW","https://www.instagram.com/goodweather.yms/","+886 921 856 541","Coffee shop","https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E6%B0%A3%E5%A5%BD%E7%9A%84%E8%A9%B1&query_place_id=ChIJQSbEaJKxQjQRYxBFzm5AIvE"
"小花老闆Coffee Stand","4.9","66","No. 5號, Section 2, Hushan Rd",,"Beitou District, Taipei City","TW","https://www.facebook.com/bosshua0525/",,"Cafe","https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E8%8A%B1%E8%80%81%E9%97%86Coffee%20Stand&query_place_id=ChIJSQsoM_yvQjQRiqD3hHCnyK8"
"無眠workshop (無訂位服務) 最後點餐時間為打烊前一小時","4.4","218","No. 22號, Fuxing 4th Rd",,"Beitou District, Taipei City","TW","https://www.facebook.com/sleeplessworkshop/?modal=admin_todo_tour","+886 2 2894 0720","Restaurant","https://www.google.com/maps/search/?api=1&query=%E7%84%A1%E7%9C%A0workshop%20(%E7%84%A1%E8%A8%82%E4%BD%8D%E6%9C%8D%E5%8B%99)%20%E6%9C%80%E5%BE%8C%E9%BB%9E%E9%A4%90%E6%99%82%E9%96%93%E7%82%BA%E6%89%93%E7%83%8A%E5%89%8D%E4%B8%80%E5%B0%8F%E6%99%82&query_place_id=ChIJU7xvdTmvQjQRSVdo1BZZYMc"
"LA JOIE CAFE","4.5","26","No. 312號, Danan Rd",,"Shilin District, Taipei City","TW","https://www.facebook.com/lajoietaipei","+886 2 2882 5889","Coffee store","https://www.google.com/maps/search/?api=1&query=LA%20JOIE%20CAFE&query_place_id=ChIJI0f88OevQjQRedxeOgJZtCc"
"Dine in cafe 咖啡廳｜早午餐｜義大利麵｜燉飯｜甜點","4.6","712","Lane 36, Section 2, Zhongshan N Rd, 11號1樓",,"Zhongshan District, Taipei City","TW","http://www.facebook.com/dineincafe","+886 2 2521 9586","Coffee shop","https://www.google.com/maps/search/?api=1&query=Dine%20in%20cafe%20%E5%92%96%E5%95%A1%E5%BB%B3%EF%BD%9C%E6%97%A9%E5%8D%88%E9%A4%90%EF%BD%9C%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%EF%BD%9C%E7%87%89%E9%A3%AF%EF%BD%9C%E7%94%9C%E9%BB%9E&query_place_id=ChIJp0JDQmmpQjQR7wjch6kWbC4"
"TankQ Cafe & Bar","4.6","4858","No. 3-2號, Lane 90, Songjiang Rd",,"Zhongshan District, Taipei City","TW","https://www.facebook.com/TANKQ.COFFEE","+886 2 2521 9930","New American restaurant","https://www.google.com/maps/search/?api=1&query=TankQ%20Cafe%20%26%20Bar&query_place_id=ChIJM8BvRWGpQjQR8bRf97kUcyk"
"Twos Brunch Cafe","4.2","601","No. 21號, Lane 235, Zhongzheng Rd",,"Shilin District, Taipei City","TW","https://www.facebook.com/TwosBrunchCafe/","+886 2 2883 0345","Brunch restaurant","https://www.google.com/maps/search/?api=1&query=Twos%20Brunch%20Cafe&query_place_id=ChIJCRo5T6OuQjQReycCRWL9QzM"
"(Flowers Taiwan) R9 Café","4.2","5420","No. 13, Lane 41, Chifeng St",,"Datong District, Taipei City","TW",,"+886 2 2559 3159","Cafe","https://www.google.com/maps/search/?api=1&query=(Flowers%20Taiwan)%20R9%20Caf%C3%A9&query_place_id=ChIJ57Tqe2mpQjQRYJHQgz16IVw"
"Together Cafe 士林","4.7","336","No. 302號, Danan Rd",,"Shilin District, Taipei City","TW","https://www.facebook.com/TogetherCafe40","+886 2 2882 5168","Restaurant","https://www.google.com/maps/search/?api=1&query=Together%20Cafe%20%E5%A3%AB%E6%9E%97&query_place_id=ChIJgRqoY8KvQjQRCC2Eh_QOz94"
"ACME｜Cafe Bar & Restaurant","4.1","3370","Jiantan Rd, 1號7樓",,"Shilin District, Taipei City","TW","https://acmetaipei.com/zh/pages/place","+886 2 6617 7575","Cafe","https://www.google.com/maps/search/?api=1&query=ACME%EF%BD%9CCafe%20Bar%20%26%20Restaurant&query_place_id=ChIJw-mPDQmpQjQRw5KgXJsem1Q"
"Kahu Craft Beer Garden","4.5","290","No. 103-1, Wenquan Rd",,"Beitou District, Taipei City","TW","https://www.facebook.com/Kahurangi-Caf%C3%A9-1936803883224250/","+886 903 432 639","Bar","https://www.google.com/maps/search/?api=1&query=Kahu%20Craft%20Beer%20Garden&query_place_id=ChIJg4CSAUOuQjQRfGncO1TYj2E"
